Date,open,high,low,close,volume,dividends,stock splits
1984-03-28,14.125,14.8125,14.125,14.8125,517200.0,0.0,0.0
1984-03-29,14.8125,14.8125,14.5,14.5625,190800.0,0.0,0.0
1984-03-30,14.375,14.4375,14.25,14.25,340400.0,0.0,0.0
1984-04-02,14.625,14.8125,14.4375,14.625,1224400.0,0.0,0.0
1984-04-03,14.5625,14.8125,14.25,14.4375,683600.0,0.0,0.0
1984-04-04,14.4375,14.625,13.75,13.8125,854400.0,0.0,0.0
1984-04-05,13.875,14.0,13.375,13.375,863000.0,0.0,0.0
1984-04-06,13.625,14.375,13.5,13.875,1213600.0,0.0,0.0
1984-04-09,14.0,14.25,13.9375,14.25,671200.0,0.0,0.0
1984-04-10,14.5,14.6875,14.4375,14.5625,547400.0,0.0,0.0
1984-04-11,14.5,14.75,14.3125,14.3125,638400.0,0.0,0.0
1984-04-12,14.4375,15.375,14.0,15.375,917600.0,0.0,0.0
1984-04-13,15.25,15.6875,15.125,15.25,1391200.0,0.0,0.0
1984-04-16,15.1875,15.9375,14.9375,15.875,1079000.0,0.0,0.0
1984-04-17,16.0,16.5,15.8125,16.1875,1985600.0,0.0,0.0
1984-04-18,16.375,16.6875,15.875,16.0625,1086800.0,0.0,0.0
1984-04-19,16.0625,16.125,15.75,16.125,947600.0,0.0,0.0
1984-04-23,16.0625,16.5,16.0625,16.125,895000.0,0.0,0.0
1984-04-24,16.125,16.1875,15.6875,15.875,1047400.0,0.0,0.0
1984-04-25,15.9375,16.3125,15.8125,16.1875,682800.0,0.0,0.0
1984-04-26,16.3125,16.8125,16.3125,16.75,1031200.0,0.0,0.0
1984-04-27,16.75,17.25,16.625,17.125,1322000.0,0.0,0.0
1984-04-30,17.1875,17.4375,17.0625,17.1875,941000.0,0.0,0.0
1984-05-01,17.25,17.4375,17.0625,17.375,716600.0,0.0,0.0
1984-05-02,17.3125,17.6875,17.125,17.3125,889000.0,0.0,0.0
1984-05-03,17.25,17.4375,16.6875,17.0,781400.0,0.0,0.0
1984-05-04,16.875,16.9375,16.0,16.125,1146600.0,0.0,0.0
1984-05-07,16.0,16.1875,15.875,16.0625,648400.0,0.0,0.0
1984-05-08,16.125,16.625,16.0,16.625,635400.0,0.0,0.0
1984-05-09,16.5625,16.875,16.4375,16.625,1161000.0,0.0,0.0
1984-05-10,16.625,16.875,16.5,16.6875,722000.0,0.0,0.0
1984-05-11,16.5625,16.625,16.25,16.5625,568000.0,0.0,0.0
1984-05-14,16.4375,16.625,16.25,16.625,441400.0,0.0,0.0
1984-05-15,16.5,16.9375,16.375,16.8125,716600.0,0.0,0.0
1984-05-16,16.75,16.875,16.4375,16.4375,285400.0,0.0,0.0
1984-05-17,16.25,16.3125,15.625,15.75,785200.0,0.0,0.0
1984-05-18,15.625,15.75,15.25,15.5,718600.0,0.0,0.0
1984-05-21,15.4375,15.6875,15.0,15.1875,940000.0,0.0,0.0
1984-05-22,15.1875,15.375,14.8125,15.375,456800.0,0.0,0.0
1984-05-23,15.4375,15.6875,15.3125,15.4375,478400.0,0.0,0.0
1984-05-24,15.375,15.4375,14.75,15.25,990400.0,0.0,0.0
1984-05-25,15.0625,15.5625,15.0625,15.4375,447600.0,0.0,0.0
1984-05-29,15.625,15.6875,15.1875,15.3125,276200.0,0.0,0.0
1984-05-30,15.375,16.375,14.8125,15.75,1183400.0,0.0,0.0
1984-05-31,15.75,16.0,15.375,15.8125,559600.0,0.0,0.0
1984-06-01,16.0,16.25,15.9375,16.1875,754200.0,0.0,0.0
1984-06-04,16.375,16.5,15.875,15.9375,761000.0,0.0,0.0
1984-06-05,15.875,16.1875,15.6875,16.0,790400.0,0.0,0.0
1984-06-06,16.0,16.5,15.875,16.5,445000.0,0.0,0.0
1984-06-07,16.3125,16.625,16.125,16.5625,536600.0,0.0,0.0
1984-06-08,16.375,16.5625,16.25,16.3125,293800.0,0.0,0.0
1984-06-11,16.25,16.375,15.5,15.625,612400.0,0.0,0.0
1984-06-12,15.25,15.5625,15.0,15.5625,536400.0,0.0,0.0
1984-06-13,15.8125,15.875,15.25,15.375,501400.0,0.0,0.0
1984-06-14,15.25,15.25,14.0625,14.25,3389000.0,0.0,0.0
1984-06-15,14.5,14.6875,14.25,14.6875,837800.0,0.0,0.0
1984-06-18,14.6875,15.5,14.5,15.5,933200.0,0.0,0.0
1984-06-19,15.5,15.6875,15.25,15.25,877000.0,0.0,0.0
1984-06-20,15.0,16.0,14.9375,16.0,1016600.0,0.0,0.0
1984-06-21,16.0,16.4375,15.875,15.9375,1870200.0,0.0,0.0
1984-06-22,15.9375,16.3125,15.625,16.0,838000.0,0.0,0.0
1984-06-25,16.0625,16.1875,15.75,15.75,325600.0,0.0,0.0
1984-06-26,15.75,15.75,15.0,15.0625,883200.0,0.0,0.0
1984-06-27,15.25,15.375,14.8125,15.0,887600.0,0.0,0.0
1984-06-28,15.0,15.5,15.0,15.375,514400.0,0.0,0.0
1984-06-29,15.5,15.8125,15.375,15.375,432800.0,0.0,0.0
1984-07-02,15.375,15.5,15.0625,15.1875,404000.0,0.0,0.0
1984-07-03,15.3125,15.5,15.25,15.4375,324600.0,0.0,0.0
1984-07-05,15.3125,15.4375,15.125,15.125,249200.0,0.0,0.0
1984-07-06,15.25,15.625,14.9375,15.25,833600.0,0.0,0.0
1984-07-09,15.3125,15.5625,15.1875,15.4375,685800.0,0.0,0.0
1984-07-10,15.5,15.8125,15.5,15.5625,869200.0,0.0,0.0
