date,value,cash
2018-09-04,270529.62790342176,27653.68023118029
2018-09-05,264484.144262611,27653.68023118029
2018-09-06,268966.76066760824,27653.68023118029
2018-09-07,268957.9262418294,13447.89631209147
2018-09-10,273455.728464877,13447.89631209147
2018-09-11,270367.953489888,13447.89631209147
2018-09-12,271334.7899973381,13447.89631209147
2018-09-13,269108.78826458636,13447.89631209147
2018-09-14,270904.4946938489,13447.89631209147
2018-09-17,269069.97698782774,13447.89631209147
2018-09-18,270633.4923524179,13447.89631209147
2018-09-19,268718.7075045601,13447.89631209147
2018-09-20,267271.8609817536,13447.89631209147
2018-09-21,263302.81687282753,13447.89631209147
2018-09-24,261316.95435150084,13447.89631209147
2018-09-25,259306.95784861856,13447.89631209147
2018-09-26,260154.42411811568,13447.89631209147
2018-09-27,260079.5681360864,13447.89631209147
2018-09-28,259456.2507591352,13447.89631209147
2018-10-01,258743.29101539962,13447.89631209147
2018-10-02,258631.90868430835,13447.89631209147
2018-10-03,258133.38479201272,13447.89631209147
2018-10-04,254187.5292564112,13447.89631209147
2018-10-05,253653.1917831063,13447.89631209147
2018-10-08,253996.42193265172,12699.821096632557
2018-10-09,243642.14447626192,12699.821096632557
2018-10-10,234659.41701177857,12699.821096632557
2018-10-11,232510.4184231077,12699.821096632557
2018-10-12,233119.8280702769,12699.821096632557
2018-10-15,235652.00047283192,12699.821096632557
2018-10-16,241714.6559327403,12699.821096632557
2018-10-17,239574.66792455644,12699.821096632557
2018-10-18,233401.1941746338,12699.821096632557
2018-10-19,229986.87615081636,12699.821096632557
2018-10-22,231503.23256895336,12699.821096632557
2018-10-23,235342.4631619159,12699.821096632557
2018-10-24,225713.99652601493,12699.821096632557
2018-10-25,234675.74276624405,12699.821096632557
2018-10-26,226866.14421697226,12699.821096632557
2018-10-29,225424.89785868482,12699.821096632557
2018-10-30,232535.31232473155,12699.821096632557
2018-10-31,236194.49218116558,12699.821096632557
2018-11-01,241885.3217749362,12699.821096632557
2018-11-02,242654.67927097343,12699.821096632557
2018-11-05,238407.73456960896,12699.821096632557
2018-11-06,238492.22314967186,12699.821096632557
2018-11-07,244106.0812715033,48821.216254300656
2018-11-08,239241.38195075665,48821.216254300656
2018-11-09,235637.37680326204,48821.216254300656
2018-11-12,233392.80411211247,48821.216254300656
2018-11-13,235845.10319938176,48821.216254300656
2018-11-14,234110.51556620552,48821.216254300656
2018-11-15,231027.2868349812,48821.216254300656
2018-11-16,232142.37249785665,48821.216254300656
2018-11-19,229253.68393877157,48821.216254300656
2018-11-20,227982.69740339668,48821.216254300656
2018-11-21,233145.13721198207,48821.216254300656
2018-11-23,230378.58827018554,48821.216254300656
2018-11-26,234053.9012160722,48821.216254300656
2018-11-27,234743.1890372775,48821.216254300656
2018-11-28,239783.97372870267,48821.216254300656
2018-11-29,237768.50646826706,48821.216254300656
2018-11-30,239845.73761069408,48821.216254300656
2018-12-03,241822.82047172543,48821.216254300656
2018-12-04,230118.23011501372,48821.216254300656
2018-12-06,229086.55968929955,48821.216254300656
2018-12-07,225633.36870955385,78971.67904834388
2018-12-10,223678.05963222278,78971.67904834388
2018-12-11,221728.05255360223,78971.67904834388
2018-12-12,221680.67043819153,78971.67904834388
2018-12-13,222273.77176069302,78971.67904834388
2018-12-14,217002.1532676229,78971.67904834388
2018-12-17,215001.83780613064,78971.67904834388
2018-12-18,214120.71063438128,78971.67904834388
2018-12-19,214870.8142023272,78971.67904834388
2018-12-20,212466.81889267734,78971.67904834388
2018-12-21,210412.3795280847,78971.67904834388
2018-12-24,206750.53254560233,78971.67904834388
2018-12-26,214332.060183401,78971.67904834388
