date,value,cash,stocks_value
2022-04-18,178229.70047692026,50637.811588444136,127591.88888847613
2022-04-19,176126.7781785336,50637.811588444136,125488.96659008946
2022-04-20,177808.76703463143,50637.811588444136,127170.95544618729
2022-04-21,175652.8170042744,50637.811588444136,125015.00541583027
2022-04-22,172593.52076019358,72879.99305230638,99713.52770788719
2022-04-25,172899.7864224544,72879.99305230638,100019.79337014802
2022-04-26,170802.05030094093,94456.77528088306,76345.27502005789
2022-04-27,169687.955583781,94456.77528088306,75231.18030289795
2022-04-28,170493.50722996713,94456.77528088306,76036.73194908407
2022-04-29,167540.69643278362,94456.77528088306,73083.92115190055
2022-05-02,166695.83924537955,94456.77528088306,72239.06396449651
2022-05-03,168397.13330127037,94456.77528088306,73940.35802038731
2022-05-04,168373.14278178528,94456.77528088306,73916.36750090224
2022-05-05,166376.16214863438,94456.77528088306,71919.38686775132
2022-05-06,165038.35477505863,116994.16456734343,48044.19020771521
2022-05-09,163381.42498737248,102090.40648516949,61291.01850220299
2022-05-10,161244.98380029685,102090.40648516949,59154.57731512736
2022-05-11,161066.0067017941,102090.40648516949,58975.60021662463
2022-05-12,161911.18567625244,102090.40648516949,59820.779191082955
2022-05-13,162693.0928285298,102090.40648516949,60602.68634336031
2022-05-16,162360.30287015092,102090.40648516949,60269.89638498144
2022-05-17,163588.564382503,102090.40648516949,61498.157897333534
2022-05-18,161253.47075719968,102090.40648516949,59163.064272030206
2022-05-19,160338.0199993744,102090.40648516949,58247.6135142049
2022-05-20,160851.31865396549,102090.40648516949,58760.91216879599
2022-05-23,161567.5267848951,102090.40648516949,59477.12029972561
2022-05-24,160777.69542419518,102090.40648516949,58687.2889390257
2022-05-25,161600.418472912,102090.40648516949,59510.011987742495
2022-05-26,162502.367984986,102090.40648516949,60411.961499816505
2022-05-27,163546.98384872248,102090.40648516949,61456.577363553006
2022-05-31,162843.04928056663,102090.40648516949,60752.64279539713
2022-06-01,161760.75894569975,102090.40648516949,59670.35246053026
2022-06-02,163557.17324842422,102090.40648516949,61466.76676325474
2022-06-03,162112.19568598538,102090.40648516949,60021.789200815896
2022-06-06,162262.30709546423,102090.40648516949,60171.900610294746
2022-06-07,162811.71695570488,101734.41911062364,61077.29784508124
2022-06-08,161972.44731576362,101734.41911062364,60238.02820514
2022-06-09,159980.34809143876,101734.41911062364,58245.92898081511
2022-06-10,158282.9950549907,101734.41911062364,56548.575944367054
2022-06-13,155414.42404662186,111528.43736083718,43885.98668578468
2022-06-14,154522.24927173482,111528.43736083718,42993.81191089763
2022-06-15,155366.4373838894,111528.43736083718,43838.00002305221
2022-06-16,154336.92137868292,121627.1467415773,32709.774637105635
2022-06-17,154847.9749994009,121627.1467415773,33220.82825782361
2022-06-21,155305.3967202784,121627.1467415773,33678.249978701104
2022-06-22,155506.03064941647,121627.1467415773,33878.88390783918
2022-06-23,157000.12705853116,121627.1467415773,35372.980316953865
2022-06-24,157713.62015782055,121627.1467415773,36086.47341624326
2022-06-27,157412.0917447182,121627.1467415773,35784.94500314091
2022-06-28,156673.69615373953,121627.1467415773,35046.54941216222
2022-06-29,157192.75580350598,121627.1467415773,35565.60906192868
2022-06-30,156702.73732507337,121627.1467415773,35075.59058349607
2022-07-01,157326.5487955435,121627.1467415773,35699.402053966216
2022-07-05,157695.77917745383,121627.1467415773,36068.63243587653
2022-07-06,157934.7150730887,121627.1467415773,36307.568331511415
2022-07-07,158437.97217745084,118818.57428361467,39619.39789383616
2022-07-08,158211.6953432255,118818.57428361467,39393.121059610814
2022-07-11,157269.41963590126,118818.57428361467,38450.84535228658
2022-07-12,156093.7077575355,118818.57428361467,37275.13347392084
2022-07-13,156011.53826496622,118818.57428361467,37192.963981351546
2022-07-14,155515.03776279715,118818.57428361467,36696.463479182494
2022-07-15,156722.64548245363,118818.57428361467,37904.07119883895
2022-07-18,156970.3621695945,118818.57428361467,38151.78788597982
2022-07-19,158125.08268513076,118818.57428361467,39306.508401516105
2022-07-20,158664.34705759407,118818.57428361467,39845.77277397941
2022-07-21,158423.22902741865,118818.57428361467,39604.65474380397
2022-07-22,158163.7962442787,118818.57428361467,39345.221960664036
2022-07-25,158569.7690540672,118818.57428361467,39751.19477045255
2022-07-26,157892.59399084828,118818.57428361467,39074.01970723361
2022-07-27,158864.50164185045,118818.57428361467,40045.9273582358
2022-07-28,160501.39424779755,118818.57428361467,41682.8199641829
2022-07-29,161957.15933391714,118818.57428361467,43138.585050302456
2022-08-01,161948.36922578397,118818.57428361467,43129.7949421693
2022-08-02,161819.59946924762,118818.57428361467,43001.02518563295
2022-08-03,162318.5108100712,118818.57428361467,43499.93652645653
2022-08-04,161888.80140305345,118818.57428361467,43070.227119438794
2022-08-05,162343.72649554463,118818.57428361467,43525.15221192997
2022-08-08,162441.19131727488,64917.96258967341,97523.22872760147
2022-08-09,160242.4742479539,64917.96258967341,95324.51165828052
2022-08-10,162681.60847598332,64917.96258967341,97763.6458863099
2022-08-11,162110.38576516812,64917.96258967341,97192.4231754947
2022-08-12,162818.13327378742,64917.96258967341,97900.17068411401
2022-08-15,162755.9332288827,64917.96258967341,97837.97063920929
2022-08-16,162033.21075751388,64917.96258967341,97115.24816784047
2022-08-17,160561.7634674796,64917.96258967341,95643.80087780622
2022-08-18,159817.41929886318,64917.96258967341,94899.45670918978
2022-08-19,159989.92185619654,64917.96258967341,95071.95926652312
2022-08-22,157775.77253209683,64917.96258967341,92857.80994242341
2022-08-23,156904.97481648184,64917.96258967341,91987.01222680844
2022-08-24,157123.9495644281,64917.96258967341,92205.98697475469
2022-08-25,158385.6488368482,64917.96258967341,93467.6862471748
2022-08-26,154208.65071487718,64917.96258967341,89290.68812520379
2022-08-29,154046.87151293756,64917.96258967341,89128.90892326416
2022-08-30,153339.79672067062,64917.96258967341,88421.83413099722
2022-08-31,152550.35918579006,64917.96258967341,87632.39659611664
2022-09-01,153734.3668736267,64917.96258967341,88816.4042839533
2022-09-02,152631.2740976892,97798.37781143983,54832.89628624935
2022-09-06,152501.76070011512,97798.37781143983,54703.3828886753
2022-09-07,153893.37669414483,92311.39322309848,61581.98347104635
2022-09-08,157361.0181438158,92311.39322309848,65049.62492071731
2022-09-09,158656.43332888713,92311.39322309848,66345.04010578865
2022-09-12,158755.48440696474,92311.39322309848,66444.09118386624
2022-09-13,155633.7593634946,92311.39322309848,63322.36614039614
2022-09-14,155220.5593340461,92311.39322309848,62909.16611094761
2022-09-15,155542.6665122108,92311.39322309848,63231.273289112316
2022-09-16,155528.9904645221,92311.39322309848,63217.59724142363
2022-09-19,155276.8847331067,92311.39322309848,62965.49151000824
2022-09-20,154133.38898772025,92311.39322309848,61821.99576462178
2022-09-21,152986.81800954713,92311.39322309848,60675.42478644865
2022-09-22,152625.45871583634,92311.39322309848,60314.06549273785
2022-09-23,152965.51665501873,92311.39322309848,60654.123431920234
2022-09-26,151696.0294316967,103181.12429810596,48514.90513359074
2022-09-27,151628.5555251171,114210.71325771038,37417.842267406704
2022-09-28,152626.84087144138,114210.71325771038,38416.12761373101
2022-09-29,151872.06859830237,114210.71325771038,37661.355340591996
2022-09-30,151536.04752742965,114210.71325771038,37325.33426971927
2022-10-03,153439.88200923003,114210.71325771038,39229.16875151967
2022-10-04,154379.31601755018,114210.71325771038,40168.60275983982
2022-10-05,154391.6438346692,114210.71325771038,40180.93057695883
2022-10-06,154012.90193123883,114210.71325771038,39802.188673528435
2022-10-07,153010.76633476428,114748.5091867862,38262.25714797807
